Sample,Purity,Purity-FGA,Staging-Purity,Subtyping-Purity,Staging-Purity-FGA,Subtyping-Purity-FGA,Subtyping-Staging-Purity,Subtyping-Staging-Purity-FGA
0,0.113,0.208,0.166,0.085,0.083,0.049,0.077,0.167
1,0.209,0.388,0.43,0.125,0.262,0.086,0.09,0.223
2,0.014,0.01,0.084,0.169,0.012,0.017,0.027,0.101
3,0.004,0.008,0.058,0.108,0.099,0.062,0.016,0.118
4,0.127,0.104,0.117,0.202,0.138,0.181,0.314,0.153
5,0.184,0.162,0.192,0.088,0.217,0.228,0.306,0.132
6,0.018,0.017,0.052,0.093,0.039,0.002,0.007,0.09
7,0.017,0.027,0.056,0.103,0.034,0.022,0.032,0.084
8,0.182,0.188,0.294,0.04,0.158,0.222,0.069,0.136
9,0.201,0.208,0.332,0.138,0.223,0.285,0.056,0.16
10,0.003,0.033,0.058,0.123,0.054,0.051,0.006,0.105
11,0.019,0.004,0.089,0.149,0.007,0.017,0.009,0.139
12,0.013,0.055,0.101,0.129,0.12,0.12,0.04,0.023
13,0.064,0.012,0.073,0.017,0.097,0.053,0.011,0.123
14,0.016,0.049,0.108,0.06,0.115,0.091,0.246,0.071
15,0.027,0.016,0.003,0.14,0.022,0.078,0.017,0.008
16,0.034,0.048,0.067,0.056,0.079,0.013,0.001,0.101
17,0.124,0.096,0.085,0.067,0.144,0.101,0.22,0.005
18,0.177,0.173,0.132,0.058,0.107,0.081,0.064,0.182
19,0.01,0.004,0.013,0.037,0.047,0.02,0.102,0.167
20,0.083,0.029,0.037,0.275,0.237,0.138,0.171,0.097
21,0.007,0.014,0.002,0.135,0.006,0.094,0.057,0.125
22,0.077,0.058,0.174,0.062,0.055,0.142,0.195,0.27
23,0.011,0.032,0.06,0.151,0.115,0.124,0.227,0.052
24,0.031,0.006,0.002,0.114,0.025,0.106,0.03,0.079
25,0.071,0.007,0.095,0.105,0.041,0.183,0.094,0.145
26,0.052,0.097,0.094,0.257,0.079,0.155,0.054,0.008
27,0.293,0.284,0.188,0.301,0.219,0.196,0.281,0.196
28,0.036,0.044,0.038,0.248,0.139,0.118,0.17,0.046
29,0.079,0.104,0.114,0.077,0.01,0.096,0.01,0.05
30,0.019,0.0,0.099,0.084,0.003,0.032,0.052,0.099
31,0.023,0.007,0.067,0.051,0.038,0.012,0.039,0.077
32,0.145,0.097,0.097,0.255,0.041,0.165,0.227,0.193
33,0.031,0.012,0.144,0.043,0.29,0.107,0.133,0.106
34,0.042,0.031,0.045,0.202,0.038,0.011,0.066,0.096
35,0.25,0.288,0.419,0.488,0.293,0.317,0.609,0.237
36,0.088,0.131,0.057,0.046,0.154,0.04,0.075,0.058
37,0.031,0.052,0.129,0.333,0.014,0.218,0.296,0.049
38,0.131,0.115,0.024,0.167,0.025,0.117,0.032,0.008
39,0.23,0.171,0.256,0.054,0.059,0.273,0.062,0.115
40,0.233,0.207,0.305,0.044,0.006,0.229,0.088,0.229
41,0.11,0.247,0.091,0.216,0.166,0.006,0.175,0.042
42,0.05,0.104,0.076,0.202,0.192,0.057,0.093,0.036
43,0.135,0.128,0.215,0.137,0.165,0.369,0.331,0.322
44,0.111,0.108,0.196,0.058,0.146,0.322,0.178,0.158
45,0.023,0.004,0.095,0.209,0.068,0.007,0.143,0.023
46,0.006,0.011,0.053,0.24,0.013,0.017,0.13,0.025
47,0.095,0.11,0.008,0.078,0.146,0.064,0.072,0.192
48,0.038,0.113,0.031,0.169,0.104,0.133,0.025,0.208
49,0.012,0.025,0.132,0.157,0.061,0.044,0.07,0.067
50,0.133,0.016,0.035,0.008,0.03,0.088,0.001,0.1
51,0.183,0.117,0.168,0.007,0.109,0.1,0.041,0.017
52,0.013,0.028,0.078,0.17,0.051,0.027,0.122,0.117
53,0.158,0.101,0.041,0.157,0.093,0.16,0.121,0.241
54,0.138,0.085,0.151,0.1,0.166,0.05,0.106,0.027
55,0.173,0.175,0.197,0.141,0.229,0.216,0.208,0.049
56,0.01,0.021,0.061,0.084,0.062,0.025,0.048,0.188
57,0.01,0.005,0.087,0.12,0.088,0.027,0.037,0.044
58,0.262,0.249,0.202,0.288,0.093,0.276,0.325,0.253
59,0.321,0.341,0.381,0.117,0.346,0.205,0.142,0.111
60,0.04,0.089,0.132,0.245,0.171,0.111,0.156,0.043
61,0.002,0.017,0.047,0.152,0.076,0.021,0.012,0.08
62,0.201,0.185,0.281,0.166,0.278,0.356,0.147,0.144
63,0.008,0.028,0.033,0.267,0.047,0.012,0.032,0.135
64,0.082,0.099,0.176,0.193,0.098,0.192,0.114,0.002
65,0.018,0.019,0.054,0.162,0.02,0.005,0.052,0.063
66,0.105,0.142,0.161,0.248,0.086,0.331,0.392,0.258
67,0.064,0.023,0.001,0.113,0.053,0.014,0.06,0.077
68,0.261,0.105,0.169,0.153,0.212,0.227,0.18,0.018
69,0.326,0.375,0.313,0.103,0.409,0.263,0.083,0.003
70,0.135,0.073,0.074,0.008,0.172,0.0,0.107,0.291
71,0.014,0.011,0.012,0.198,0.126,0.004,0.034,0.088
72,0.016,0.013,0.083,0.092,0.011,0.041,0.009,0.068
73,0.015,0.017,0.088,0.086,0.041,0.06,0.082,0.018
74,0.009,0.019,0.005,0.053,0.042,0.061,0.017,0.259
75,0.034,0.001,0.018,0.0,0.094,0.001,0.152,0.107
