Sample,Purity-FGA,Staging-Purity-FGA,Subtyping-Purity-FGA,Subtyping-Staging-Purity-FGA
0,0.028,0.11,0.193,0.072
1,0.086,0.029,0.228,0.006
2,0.109,0.121,0.288,0.257
3,0.065,0.105,0.28,0.206
4,0.013,0.114,0.346,0.327
5,0.015,0.027,0.196,0.122
6,0.314,0.27,0.437,0.399
7,0.026,0.005,0.233,0.085
8,0.066,0.025,0.328,0.19
9,0.024,0.015,0.239,0.053
10,0.246,0.179,0.003,0.086
11,0.084,0.116,0.019,0.137
12,0.079,0.006,0.035,0.065
13,0.133,0.147,0.17,0.21
14,0.084,0.095,0.097,0.154
15,0.217,0.127,0.132,0.233
16,0.088,0.059,0.065,0.362
17,0.132,0.164,0.231,0.271
18,0.199,0.318,0.277,0.163
19,0.285,0.257,0.183,0.098
20,0.047,0.084,0.052,0.053
21,0.122,0.13,0.019,0.065
22,0.14,0.279,0.181,0.147
23,0.12,0.247,0.126,0.082
24,0.394,0.339,0.489,0.378
25,0.347,0.417,0.542,0.474
26,0.03,0.009,0.026,0.145
27,0.056,0.054,0.029,0.342
28,0.087,0.154,0.223,0.328
29,0.008,0.033,0.174,0.064
30,0.083,0.205,0.399,0.042
31,0.028,0.007,0.046,0.103
32,0.088,0.086,0.235,0.068
33,0.105,0.002,0.298,0.282
34,0.234,0.125,0.249,0.0
35,0.34,0.403,0.599,0.327
36,0.092,0.123,0.105,0.074
37,0.234,0.26,0.137,0.13
38,0.015,0.085,0.219,0.034
39,0.025,0.06,0.117,0.0
40,0.17,0.112,0.281,0.112
41,0.069,0.01,0.053,0.166
42,0.121,0.051,0.29,0.107
43,0.101,0.163,0.272,0.043
44,0.09,0.211,0.184,0.249
45,0.069,0.241,0.02,0.138
46,0.227,0.309,0.237,0.453
47,0.242,0.287,0.192,0.418
48,0.208,0.216,0.251,0.112
49,0.251,0.255,0.331,0.183
50,0.003,0.037,0.022,0.179
51,0.205,0.229,0.372,0.391
52,0.208,0.165,0.044,0.202
53,0.236,0.191,0.316,0.081
54,0.17,0.137,0.288,0.159
55,0.039,0.057,0.214,0.065
56,0.063,0.119,0.343,0.149
57,0.237,0.25,0.57,0.139
58,0.285,0.374,0.514,0.454
59,0.209,0.15,0.015,0.262
60,0.26,0.201,0.039,0.152
61,0.01,0.003,0.139,0.111
62,0.124,0.026,0.155,0.212
63,0.076,0.12,0.241,0.13
64,0.046,0.055,0.159,0.26
65,0.275,0.193,0.051,0.242
66,0.11,0.231,0.294,0.27
67,0.091,0.217,0.327,0.033
68,0.154,0.158,0.076,0.126
69,0.043,0.089,0.16,0.322
70,0.006,0.004,0.112,0.084
71,0.235,0.32,0.435,0.106
72,0.089,0.145,0.388,0.093
73,0.172,0.177,0.114,0.116
74,0.187,0.135,0.042,0.235
75,0.069,0.082,0.119,0.177
76,0.104,0.157,0.371,0.419
77,0.084,0.068,0.27,0.175
78,0.141,0.15,0.084,0.355
79,0.03,0.055,0.175,0.075
80,0.067,0.014,0.099,0.244
81,0.095,0.032,0.113,0.036
82,0.115,0.086,0.398,0.122
83,0.08,0.281,0.253,0.045
84,0.205,0.15,0.058,0.227
85,0.369,0.268,0.566,0.252
86,0.079,0.261,0.31,0.144
87,0.056,0.064,0.346,0.233
88,0.104,0.12,0.035,0.012
