Sample,Purity-FGA,Staging-Purity-FGA,Subtyping-Purity-FGA,Subtyping-Staging-Purity-FGA
0,0.208,0.083,0.049,0.167
1,0.388,0.262,0.086,0.223
2,0.01,0.012,0.017,0.101
3,0.008,0.099,0.062,0.118
4,0.104,0.138,0.181,0.153
5,0.162,0.217,0.228,0.132
6,0.017,0.039,0.002,0.09
7,0.027,0.034,0.022,0.084
8,0.188,0.158,0.222,0.136
9,0.208,0.223,0.285,0.16
10,0.033,0.054,0.051,0.105
11,0.004,0.007,0.017,0.139
12,0.055,0.12,0.12,0.023
13,0.012,0.097,0.053,0.123
14,0.049,0.115,0.091,0.071
15,0.016,0.022,0.078,0.008
16,0.048,0.079,0.013,0.101
17,0.096,0.144,0.101,0.005
18,0.173,0.107,0.081,0.182
19,0.004,0.047,0.02,0.167
20,0.029,0.237,0.138,0.097
21,0.014,0.006,0.094,0.125
22,0.058,0.055,0.142,0.27
23,0.032,0.115,0.124,0.052
24,0.006,0.025,0.106,0.079
25,0.007,0.041,0.183,0.145
26,0.097,0.079,0.155,0.008
27,0.284,0.219,0.196,0.196
28,0.044,0.139,0.118,0.046
29,0.104,0.01,0.096,0.05
30,0.0,0.003,0.032,0.099
31,0.007,0.038,0.012,0.077
32,0.097,0.041,0.165,0.193
33,0.012,0.29,0.107,0.106
34,0.031,0.038,0.011,0.096
35,0.288,0.293,0.317,0.237
36,0.131,0.154,0.04,0.058
37,0.052,0.014,0.218,0.049
38,0.115,0.025,0.117,0.008
39,0.171,0.059,0.273,0.115
40,0.207,0.006,0.229,0.229
41,0.247,0.166,0.006,0.042
42,0.104,0.192,0.057,0.036
43,0.128,0.165,0.369,0.322
44,0.108,0.146,0.322,0.158
45,0.004,0.068,0.007,0.023
46,0.011,0.013,0.017,0.025
47,0.11,0.146,0.064,0.192
48,0.113,0.104,0.133,0.208
49,0.025,0.061,0.044,0.067
50,0.016,0.03,0.088,0.1
51,0.117,0.109,0.1,0.017
52,0.028,0.051,0.027,0.117
53,0.101,0.093,0.16,0.241
54,0.085,0.166,0.05,0.027
55,0.175,0.229,0.216,0.049
56,0.021,0.062,0.025,0.188
57,0.005,0.088,0.027,0.044
58,0.249,0.093,0.276,0.253
59,0.341,0.346,0.205,0.111
60,0.089,0.171,0.111,0.043
61,0.017,0.076,0.021,0.08
62,0.185,0.278,0.356,0.144
63,0.028,0.047,0.012,0.135
64,0.099,0.098,0.192,0.002
65,0.019,0.02,0.005,0.063
66,0.142,0.086,0.331,0.258
67,0.023,0.053,0.014,0.077
68,0.105,0.212,0.227,0.018
69,0.375,0.409,0.263,0.003
70,0.073,0.172,0.0,0.291
71,0.011,0.126,0.004,0.088
72,0.013,0.011,0.041,0.068
73,0.017,0.041,0.06,0.018
74,0.019,0.042,0.061,0.259
75,0.001,0.094,0.001,0.107
76,0.335,0.233,0.373,0.508
77,0.422,0.435,0.719,0.713
78,0.027,0.024,0.01,0.071
79,0.018,0.035,0.059,0.064
80,0.263,0.256,0.112,0.234
81,0.267,0.199,0.083,0.168
82,0.214,0.309,0.111,0.051
83,0.042,0.069,0.061,0.013
84,0.113,0.012,0.183,0.201
85,0.182,0.191,0.166,0.073
86,0.19,0.245,0.333,0.414
87,0.126,0.126,0.067,0.075
88,0.41,0.542,0.261,0.398
